City,Country,Race,Date,StartTime,Participation,Distance,ElevationGain,ElevationLoss,AidStations,Participants
NA,United Kingdom,110 Mi,2019-05-25,08:00:00,solo,170,4160,-4120,12,150
Liberia,Costa Rica,160km,2019-05-25,04:30:00,solo,163.7,3370,-3360,15,50
Pretoria,South Africa,100m,2019-05-24,12:00:00,solo,162.8,5900,-6140,14,0
Kuusamo,Finland,159K,2019-05-24,12:00:00,solo,159.5,3940,-3940,7,150
chester,United Kingdom,Chester Ultra 100,2019-05-18,06:00:00,solo,163.9,1830,-1830,9,50
Hatch,United States,100 Mile,2019-05-17,00:00:00,solo,157.1,4470,-4460,13,300
Kayapa,Philippines,Hardcore Hundred Miles,2019-05-16,23:00:00,solo,167.1,9480,-9500,11,100
VerdensEnde,Norway,Soria Moria til Verdens Ende,2019-05-11,10:00:00,solo,162.3,4040,-4510,6,100
Ogose,Japan,100mile,2019-05-11,07:00:00,solo,163.2,9050,-9020,16,200
Vipava,Slovenia,UTVV 100 miles,2019-05-11,18:00:00,solo,160.6,6850,-6840,14,400
CapelCurig,United Kingdom,UTS-100,2019-05-10,13:00:00,solo,170.9,10140,-10140,16,100
ClarenceGardens,Australia,Hubert 100 Miles,2019-05-04,10:00:00,solo,157.8,2630,-2630,9,110
London,United Kingdom,Centurion Thames Path 100,2019-05-04,10:00:00,solo,161.3,3160,-3110,13,300
Cardiff,United Kingdom,Dragon 100,2019-05-04,18:00:00,solo,165,3550,-3550,11,200
NA,United States,MASSANUTTEN MOUNTAIN TRAILS 100 MILE RUN,2019-05-04,00:00:00,solo,162.5,5420,-5420,0,0
Zalesie,Poland,100 miles of Beskid Wyspowy,2019-05-03,06:00:00,solo,164.1,6600,-6600,9,100
Täby,Sweden,TEC 100 Miles,2019-04-27,10:00:00,solo,160.7,1610,-1610,13,150
Jonsered,Sweden,Ultra-Trail®,2019-04-26,20:00:00,solo,164.7,3850,-3850,8,60
Castiglioned'Orcia(SI),Italy,160 km,2019-04-26,18:00:00,Solo,160.9,5590,-5570,13,200
Fuji,Japan,UTMF - Full Course 165km,2019-04-26,12:00:00,solo,165.9,7620,-7620,9,2400
Underberg,South Africa,UTD 160,2019-04-26,12:00:00,solo,163.3,5610,-6740,8,0
Iznik,Turkey,160 K,2019-04-19,20:00:00,solo,162.5,4470,-4470,12,100
Kathmandu,Nepal,Mustang Trail Race,2019-04-16,08:00:00,solo,169,10010,-9310,8,36
Umag,Croatia,RED,2019-04-12,16:00:00,Solo,169.6,6360,-6640,12,600
OldFort,United States,Hellbender 100 Mile,2019-04-12,04:30:00,solo,158,7470,-7440,11,125
Ningbo,China,100Mile / 168Km,2019-04-12,14:00:00,solo,159.8,7350,-7350,13,200
